Customer_ID   Employee_ID    Order_ID       Product_ID     Quantity  Total_Retail_Price  CostPrice_Per_Unit  Discount  Order_Type  Order_Date   Delivery_Date  Shipping  Profit
79            121027         1231135703     210201200004   2         92                  16.05               .         1           27JUL2013    27JUL2013      12.95     59.9
79            121027         1231135703     210201300050   2         39                  8.95                .         1           27JUL2013    27JUL2013      8.95      21.1
31            121059         1231169108     220200300157   3         220.2               36.65               .         1           02AUG2013    02AUG2013      22.02     110.25
215           120164         1231176288     240500200100   2         45.4                10.85               .         1           04AUG2013    04AUG2013      8.95      23.7
111           99999999       1231188317     220130900029   1         30.8                12.35               .         2           06AUG2013    08AUG2013      8.95      18.45
3959          99999999       1231194004     240100100610   2         122                 27.55               .         3           06AUG2013    07AUG2013      15.95     66.9
3959          99999999       1231194004     240100400143   2         330                 82.6                .         3           06AUG2013    07AUG2013      33        164.8
71            120732         1231204878     230100600017   2         111.4               27.95               .         1           08AUG2013    08AUG2013      12.95     55.5
215           120134         1231206746     240200100232   1         28.2                14.2                .         1           09AUG2013    09AUG2013      6.95      14
70187         99999999       1231227910     240200200013   3         1266                42.2                .         2           13AUG2013    18AUG2013      126.6     1139.4
20            121040         1231231220     220131400306   2         145.2               33.1                .         1           13AUG2013    13AUG2013      15.95     79
45            121045         1231259703     240200100051   3         420.9               72                  .         1           18AUG2013    18AUG2013      42.09     204.9
52            99999999       1231270767     230100600022   2         168.2               42.15               .         3           20AUG2013    26AUG2013      17.95     83.9
12            121037         1231292064     220131400060   3         96.3                14.7                .         1           24AUG2013    24AUG2013      12.95     52.2
12            121037         1231292064     220131400117   2         91.2                20.85               .         1           24AUG2013    24AUG2013      12.95     49.5
16            99999999       1231305521     220200100035   2         125.2               31.4                .         2           27AUG2013    04SEP2013      15.95     62.4
16            99999999       1231305531     220200100090   2         177.2               44.4                .         2           27AUG2013    29AUG2013      17.95     88.4
20            121109         1231314893     240700200024   2         32                  6.35                .         1           28AUG2013    28AUG2013      8.95      19.3
2806          99999999       1231316727     240100400076   2         224.6               68.6                .         2           28AUG2013    01SEP2013      22.46     87.4
2806          99999999       1231316727     240100400143   2         330                 82.6                .         2           28AUG2013    01SEP2013      33        164.8
61            99999999       1231317443     230100700002   2         440                 135                 .         2           29AUG2013    03SEP2013      44        170
71            121057         1231341359     220200200018   2         132.8               30.25               .         1           02SEP2013    02SEP2013      15.95     72.3
36            99999999       1231392762     230100600023   2         146.8               36.8                .         3           11SEP2013    13SEP2013      15.95     73.2
36            99999999       1231414059     240800200008   1         150.25              60.1                .         3           15SEP2013    17SEP2013      17.95     90.15
70046         99999999       1231453831     240200100052   1         99.7                51.4                .         3           23SEP2013    24SEP2013      12.95     48.3
70046         99999999       1231453831     240200200015   1         24                  10.55               .         3           23SEP2013    24SEP2013      6.95      13.45
52            121044         1231468750     220130100153   1         50                  25.1                .         1           25SEP2013    30SEP2013      8.95      24.9
19444         99999999       1231500373     220131200006   1         52.2                20.95               .         2           01OCT2013    06OCT2013      8.95      31.25
88            121043         1231501254     220130700052   1         106.1               50.5                .         1           01OCT2013    01OCT2013      12.95     55.6
52            99999999       1231522431     240100100065   1         34.7                13.8                .         3           05OCT2013    11OCT2013      8.95      20.9
14703         99999999       1231544990     220131400385   1         24.8                12.35               .         2           09OCT2013    12OCT2013      6.95      12.45
70108         99999999       1231614059     220131200020   1         55.9                24.2                .         2           22OCT2013    23OCT2013      8.95      31.7
61            99999999       1231619928     230100600036   1         103.2               50.4                .         2           23OCT2013    28OCT2013      12.95     52.8
11            99999999       1231653765     230100200047   1         72.7                35.2                .         3           29OCT2013    03NOV2013      10.95     37.5
63            121061         1231657078     220200300116   1         84.2                38.35               .         1           29OCT2013    02NOV2013      10.95     45.85
5             121025         1231663230     240100100433   1         3                   1.15                .         1           30OCT2013    30OCT2013      6.95      1.85
544           99999999       1231734609     230100500091   1         191                 80.45               .         2           12NOV2013    13NOV2013      17.95     110.55
1033          99999999       1231734615     230100600005   1         129.8               63.2                .         3           12NOV2013    16NOV2013      15.95     66.6
17            121037         1231757107     220130100568   1         84.1                42.15               .         1           16NOV2013    16NOV2013      10.95     41.95
14703         99999999       1231773634     220131400018   2         45.6                10.45               .         2           19NOV2013    22NOV2013      8.95      24.7
71            121025         1231780610     240100400080   1         219.9               109.9               .         1           20NOV2013    20NOV2013      21.99     110
5             99999999       1231842118     240700300002   2         43.98               7.25                .         2           01DEC2013    03DEC2013      8.95      29.48
45            121060         1231858937     220200300079   2         128.6               28.65               .         1           04DEC2013    04DEC2013      15.95     71.3
70187         99999999       1231861295     240200100154   2         53.2                11.95               .         2           05DEC2013    10DEC2013      8.95      29.3
71            121043         1231891098     220131400091   2         65.6                15                  .         1           10DEC2013    10DEC2013      10.95     35.6
88            120733         1231896710     230100500087   1         93.8                39.05               .         1           11DEC2013    11DEC2013      12.95     54.75
183           120127         1231898348     220131400289   4         240.8               27.4                .         1           12DEC2013    12DEC2013      24.08     131.2
215           120132         1231908237     240200100180   2         243.2               62.9                .         1           14DEC2013    14DEC2013      24.32     117.4
17            121020         1231928627     240100400070   1         175.9               127.95              .         1           17DEC2013    17DEC2013      17.95     47.95
111           120127         1231930216     220130300008   4         342.8               34.35               .         1           18DEC2013    18DEC2013      34.28     205.4
111           120127         1231936241     220131400017   2         22.2                5                   .         1           19DEC2013    19DEC2013      6.95      12.2
5             99999999       1231950921     230100500093   2         265.6               55.85               .         2           21DEC2013    23DEC2013      26.56     153.9
5             99999999       1231950921     230100600030   1         86.3                41.4                .         2           21DEC2013    23DEC2013      10.95     44.9
111           99999999       1231952752     220130100298   2         105.8               26.55               .         2           22DEC2013    24DEC2013      12.95     52.7
70210         99999999       1231953192     240200100052   2         199.4               51.4                .         3           22DEC2013    23DEC2013      17.95     96.6
5             121037         1231956902     220131400276   2         136.8               31.2                .         1           22DEC2013    22DEC2013      15.95     74.4
19            99999999       1231976710     240300100020   4         56.4                6.05                .         3           26DEC2013    30DEC2013      8.95      32.2
19            99999999       1231976710     240300100032   2         1200.2              300                 .         3           26DEC2013    30DEC2013      120.02    600.2
183           120158         1231982684     240400300033   3         107.1               14.35               .         1           27DEC2013    27DEC2013      12.95     64.05
195           120148         1231986335     230100500008   1         38                  16.8                .         1           28DEC2013    28DEC2013      8.95      21.2
70046         99999999       1232003930     240200100124   2         49                  12.35               .         3           31DEC2013    01JAN2014      8.95      24.3
5             99999999       1232013693     240100400044   1         353.6               174.75              .         2           31DEC2013    04JAN2014      35.36     178.85
5             99999999       1232013693     240100400049   1         421.2               212.95              .         2           31DEC2013    04JAN2014      42.12     208.25
45            121066         1232013700     230100100045   2         249.6               53.6                .         1           31DEC2013    31DEC2013      24.96     142.4
45            121066         1232013700     230100200019   2         398.2               95.65               .         1           31DEC2013    31DEC2013      39.82     206.9
45            121066         1232013700     230100500056   1         8                   3.5                 .         1           31DEC2013    31DEC2013      6.95      4.5
53            120143         1232087464     230100600022   4         336.4               42.15               .         1           13JAN2014    13JAN2014      33.64     167.8
49            121039         1232092527     220130200004   1         6.5                 2.6                 .         1           13JAN2014    13JAN2014      6.95      3.9
49            121039         1232092527     220130900006   1         88.4                35.45               .         1           13JAN2014    13JAN2014      10.95     52.95
49            121039         1232092527     220131400150   1         28.2                12.9                .         1           13JAN2014    13JAN2014      6.95      15.3
34            121040         1232161564     220130100197   1         101.3               50.75               .         1           23JAN2014    23JAN2014      12.95     50.55
2618          99999999       1232173841     240100100581   1         28                  11.55               .         3           25JAN2014    30JAN2014      6.95      16.45
2618          99999999       1232173841     240100400147   1         248.3               122.75              .         3           25JAN2014    30JAN2014      24.83     125.55
89            99999999       1232217725     230100100062   2         283.4               61                  .         2           01FEB2014    04FEB2014      28.34     161.4
195           120150         1232240447     230100200059   2         77.6                16.65               .         1           05FEB2014    05FEB2014      10.95     44.3
70046         99999999       1232241009     240200200039   1         22.2                9.2                 .         3           05FEB2014    06FEB2014      6.95      13
171           120148         1232307056     230100500081   2         146                 30.35               .         1           15FEB2014    15FEB2014      15.95     85.3
20            121039         1232311932     220130300025   2         206                 42.4                .         1           15FEB2014    15FEB2014      20.6      121.2
23            99999999       1232331499     230100100051   2         369.8               78.15               .         2           18FEB2014    22FEB2014      36.98     213.5
13            99999999       1232373481     220200100229   1         165.5               82.85               .         2           25FEB2014    28FEB2014      17.95     82.65
4             99999999       1232410925     240800200030   1         47.7                18.8                .         3           02MAR2014    03MAR2014      8.95      28.9
4             121100         1232455720     240600100017   1         53                  23.25               .         1           09MAR2014    09MAR2014      8.95      29.75
70201         99999999       1232517885     240200100226   1         183.9               86.65               .         3           19MAR2014    24MAR2014      17.95     97.25
4             99999999       1232530384     240700200019   1         16.9                8.6                 .         3           20MAR2014    21MAR2014      6.95      8.3
49            121037         1232530393     220130100125   1         33.4                16.8                .         1           20MAR2014    20MAR2014      8.95      16.6
49            121037         1232530393     220130100513   1         63.9                32.05               .         1           20MAR2014    20MAR2014      10.95     31.85
49            121037         1232530393     220130300019   1         35.6                16.7                .         1           20MAR2014    20MAR2014      8.95      18.9
92            121068         1232554759     230100600022   1         84.1                42.15               .         1           24MAR2014    24MAR2014      10.95     41.95
195           120160         1232590052     240400300013   1         51.8                21.6                .         1           30MAR2014    30MAR2014      8.95      30.2
195           120160         1232590052     240400300035   1         19.1                7.7                 .         1           30MAR2014    30MAR2014      6.95      11.4
89            99999999       1232601472     230100500094   2         173.2               34.1                .         2           31MAR2014    03APR2014      17.95     105
54655         99999999       1232618023     240200100183   1         95.7                47.95               .         2           03APR2014    06APR2014      12.95     47.75
49            121031         1232648239     210201300126   1         6.5                 2.3                 .         1           07APR2014    15APR2014      6.95      4.2
4             99999999       1232654929     240500100017   4         214                 23.75               .         3           08APR2014    09APR2014      21.4      119
4             99999999       1232654929     240500100029   1         58.9                26.1                .         3           08APR2014    09APR2014      8.95      2.8
11171         99999999       1232672914     240200100101   2         38.8                10.2                .         3           11APR2014    13APR2014      8.95      18.4
11171         99999999       1232672914     240200200011   2         271.4               13                  .         3           11APR2014    13APR2014      27.14     245.4
9             99999999       1232698281     230100600035   1         29.4                14.15               .         3           15APR2014    20APR2014      6.95      15.25
4             121041         1232709099     220131400145   1         16.7                7.75                .         1           16APR2014    16APR2014      6.95      8.95
34            121105         1232709115     240700100001   3         70.8                12.3                .         1           16APR2014    16APR2014      10.95     33.9
41            99999999       1232723799     210200600112   1         21.8                9.25                .         3           19APR2014    23APR2014      6.95      12.55
5             99999999       1232728634     240100100403   1         168.7               76.55               .         2           19APR2014    23APR2014      17.95     92.15
215           120151         1232777080     230100500012   1         73.9                33.25               .         1           27APR2014    27APR2014      10.95     40.65
215           120151         1232777080     230100600023   1         73.4                36.8                .         1           27APR2014    27APR2014      10.95     36.6
195           120143         1232790793     230100200074   1         50.1                24.5                .         1           29APR2014    29APR2014      8.95      25.6
45            99999999       1232857157     230100600030   2         172.6               41.4                .         2           08MAY2014    12MAY2014      17.95     89.8
908           99999999       1232889267     230100200054   3         407.4               61.8                .         2           13MAY2014    17MAY2014      40.74     222
34            121021         1232897220     240100400129   3         712.2               111                 .         1           14MAY2014    14MAY2014      71.22     379.2
544           99999999       1232936635     230100600030   2         172.6               41.4                .         2           20MAY2014    21MAY2014      17.95     89.8
111           99999999       1232946301     220131400061   2         102                 23.3                .         2           22MAY2014    24MAY2014      12.95     55.4
52            99999999       1232956741     230100500008   2         76                  16.8                .         3           23MAY2014    24MAY2014      10.95     42.4
171           120145         1232972274     230100200054   1         135.8               61.8                .         1           26MAY2014    26MAY2014      15.95     74
171           120145         1232972274     230100500056   1         8                   3.5                 .         1           26MAY2014    26MAY2014      6.95      4.5
183           120122         1232985693     240100100186   1         273                 122.8               .         1           28MAY2014    28MAY2014      27.3      150.2
4             121109         1232998740     240700100011   3         80.97               10.23               .         1           29MAY2014    29MAY2014      10.95     50.28
34            121025         1233003688     240100100535   1         28.6                12.95               .         1           30MAY2014    30MAY2014      6.95      15.65
14104         99999999       1233049735     220131400216   2         48.8                11.2                .         3           06JUN2014    09JUN2014      8.95      26.4
215           120148         1233066745     230100600022   1         84.1                42.15               .         1           09JUN2014    09JUN2014      10.95     41.95
49            121060         1233078086     220200200071   2         200.2               43.5                .         1           10JUN2014    10JUN2014      20.02     113.2
12            121054         1233092596     240300100048   1         15.5                6.7                 .         1           12JUN2014    12JUN2014      6.95      8.8
45            121084         1233131266     240400300039   2         39.2                7.9                 .         1           18JUN2014    18JUN2014      8.95      23.4
171           120121         1233166411     240100100734   1         10.1                4.15                .         1           24JUN2014    24JUN2014      6.95      5.95
70187         99999999       1233167161     240200100095   2         237                 52.55               .         2           24JUN2014    29JUN2014      23.7      131.9
49            121109         1233243603     240700200004   2         8.4                 2.2                 .         1           05JUL2014    05JUL2014      6.95      4
19444         99999999       1233248920     220130700042   2         171.2               36.35               .         2           06JUL2014    11JUL2014      17.95     98.5
19444         99999999       1233248920     220131400387   3         37.8                5.85                .         2           06JUL2014    11JUL2014      8.95      20.25
75            121029         1233270605     210200600085   2         75.2                17                  .         1           09JUL2014    09JUL2014      10.95     41.2
70059         99999999       1233280857     220130100609   3         173.7               29.05               .         3           11JUL2014    15JUL2014      17.95     86.55
5             121053         1233315988     240300200018   1         87.2                39.7                .         1           16JUL2014    16JUL2014      10.95     47.5
5             121053         1233315988     240300300071   1         138                 60.1                .         1           16JUL2014    16JUL2014      15.95     77.9
13            99999999       1233378724     240300100046   1         14.1                6.9                 .         2           26JUL2014    29JUL2014      6.95      7.2
34            121105         1233482761     240700200021   2         38.8                10.35               .         1           10AUG2014    10AUG2014      8.95      18.1
2550          99999999       1233484749     240100400098   2         503.6               125.85              .         3           10AUG2014    15AUG2014      50.36     251.9
2550          99999999       1233484749     240100400136   3         272.7               45.4                .         3           10AUG2014    15AUG2014      27.27     136.5
70201         99999999       1233514453     240200200060   3         553.5               73.85               .         3           15AUG2014    20AUG2014      55.35     331.95
215           120123         1233531965     240100400112   1         114                 54.8                .         1           18AUG2014    18AUG2014      12.95     59.2
4             99999999       1233543560     240500200083   3         201.9               28                  .         3           19AUG2014    20AUG2014      20.19     117.9
41            120134         1233545775     240200100007   2         49.4                11.8                .         1           20AUG2014    20AUG2014      8.95      25.8
41            120134         1233545775     240200100020   1         189.6               100.6               .         1           20AUG2014    20AUG2014      17.95     89
215           120150         1233545781     230100500020   1         6.2                 2.85                .         1           20AUG2014    20AUG2014      6.95      3.35
89            99999999       1233597637     240700400002   2         67.2                14.65               .         2           27AUG2014    30AUG2014      10.95     37.9
215           120177         1233618453     240700400020   1         73.4                38.25               .         1           31AUG2014    31AUG2014      10.95     35.15
5             99999999       1233682051     240100100676   1         43.4                18.65               .         2           09SEP2014    13SEP2014      8.95      24.75
49            121053         1233689304     240300300070   3         1514.4              229.65              .         1           10SEP2014    10SEP2014      151.44    825.45
195           120148         1233837302     230100500026   4         990                 109.55              .         1           03OCT2014    03OCT2014      99        551.8
195           120148         1233837302     230100600036   3         309.6               50.4                .         1           03OCT2014    03OCT2014      30.96     158.4
111           99999999       1233895201     220130100371   1         25.6                12.9                .         2           12OCT2014    14OCT2014      6.95      12.7
111           99999999       1233895201     220131400238   2         113.8               25.95               .         2           12OCT2014    14OCT2014      12.95     61.9
544           99999999       1233913196     230100400012   1         29.3                11.75               .         2           14OCT2014    15OCT2014      6.95      17.55
34            121030         1233920786     210200400020   1         38                  19.1                .         1           15OCT2014    15OCT2014      8.95      18.9
34            121030         1233920786     210200400070   1         41.6                20.9                .         1           15OCT2014    15OCT2014      8.95      20.7
52            121135         1233920795     240800200010   1         120.4               48.1                .         1           15OCT2014    15OCT2014      15.95     72.3
52            121064         1233920805     230100500056   1         8                   3.5                 .         1           15OCT2014    15OCT2014      6.95      4.5
19873         99999999       1233998114     220130100101   1         59.7                29.95               .         2           27OCT2014    03NOV2014      8.95      29.75
19873         99999999       1233998114     220130400022   1         98.9                47.7                .         2           27OCT2014    03NOV2014      12.95     51.2
92            121039         1234033037     220130700022   1         53.7                22.75               .         1           01NOV2014    01NOV2014      8.95      30.95
75            121069         1234092222     230100500023   1         7.2                 3.1                 .         1           10NOV2014    10NOV2014      6.95      4.1
195           120123         1234133789     240100400046   1         328.3               165.95              .         1           17NOV2014    17NOV2014      32.83     162.35
53            120121         1234186330     240100400095   1         200.1               97.75               .         1           25NOV2014    25NOV2014      20.01     102.35
49            121035         1234198497     210200100017   1         39                  17.35               .         1           26NOV2014    26NOV2014      8.95      21.65
54655         99999999       1234235150     240200200060   2         369                 73.85               .         2           02DEC2014    05DEC2014      36.9      221.3
49            121042         1234247283     220130400023   2         187.2               40.75               .         1           03DEC2014    03DEC2014      17.95     105.7
17            121135         1234255111     240800100039   3         257.4               39.9                .         1           04DEC2014    04DEC2014      25.74     137.7
23            99999999       1234279341     230100500092   1         116.7               48.6                .         2           08DEC2014    12DEC2014      12.95     68.1
92            121109         1234301319     240700200010   4         105.6               10.1                .         1           11DEC2014    11DEC2014      12.95     65.2
70210         99999999       1234323012     240200100098   2         29.2                6.75                .         3           15DEC2014    16DEC2014      6.95      15.7
70210         99999999       1234323012     240200100101   2         39                  10.3                .         3           15DEC2014    16DEC2014      8.95      18.4
70210         99999999       1234323012     240200200035   2         196                 39.3                .         3           15DEC2014    16DEC2014      17.95     117.4
4             121069         1234348668     230100100053   2         92.6                20.9                .         1           18DEC2014    18DEC2014      12.95     50.8
17            121071         1234360543     230100100033   2         110.2               25.4                .         1           20DEC2014    20DEC2014      12.95     59.4
12            121069         1234373539     230100100013   2         226.2               58.9                .         1           22DEC2014    22DEC2014      22.62     108.4
111           120123         1234414529     240100100654   2         90.4                18.15               .         1           29DEC2014    29DEC2014      12.95     54.1
111           120123         1234414529     240100400136   2         181.8               45.4                .         1           29DEC2014    29DEC2014      17.95     91
17            121109         1234419240     240700100013   5         119.95              9.75                .         1           29DEC2014    29DEC2014      12.95     71.2
195           120150         1234437760     230100600028   2         193.4               48.45               .         1           02JAN2012    02JAN2012      17.95     96.5
36            99999999       1234534069     240800100026   4         525.2               58.55               .         3           11JAN2012    14JAN2012      52.52     291
183           120121         1234537441     240100200001   1         16                  6.35                .         1           12JAN2012    12JAN2012      6.95      9.65
16            99999999       1234538390     220200300015   1         115                 52.4                .         2           12JAN2012    14JAN2012      12.95     62.6
16            99999999       1234588648     230100500101   1         138.7               62.5                .         2           17JAN2012    19JAN2012      15.95     76.2
16            99999999       1234588648     230100600024   1         76.1                38.15               .         2           17JAN2012    19JAN2012      10.95     37.95
16            99999999       1234659163     230100700008   1         504.2               245.8               .         2           24JAN2012    26JAN2012      50.42     258.4
63            99999999       1234665265     240100100063   2         48.4                9.75                .         2           24JAN2012    25JAN2012      8.95      28.9
171           99999999       1234709803     220130100304   2         122.6               30.75               .         3           29JAN2012    02FEB2012      15.95     61.1
183           120179         1234727966     240700400004   1         13.2                5.95                .         1           31JAN2012    31JAN2012      6.95      7.25
70221         99999999       1234891576     240200100226   1         183.9               86.65               .         3           16FEB2012    18FEB2012      17.95     97.25
18            121021         1234897732     240100100672   1         197.9               84.9                .         1           16FEB2012    16FEB2012      17.95     113
24            99999999       1234958242     230100500016   1         11.9                5.4                 .         2           22FEB2012    27FEB2012      6.95      6.5
16            99999999       1234972570     230100200048   1         68.7                34.45               .         2           24FEB2012    26FEB2012      10.95     34.25
11171         99999999       1235176942     240200100021   1         2.7                 1.2                 .         3           15MAR2012    17MAR2012      6.95      1.5
11171         99999999       1235176942     240200100246   1         16.2                7.9                 .         3           15MAR2012    17MAR2012      6.95      8.3
215           120160         1235236723     240400200094   1         254.2               115.6               .         1           21MAR2012    21MAR2012      25.42     138.6
89            121043         1235275513     220130100241   1         29.7                14.95               .         1           24MAR2012    24MAR2012      6.95      14.75
111           120122         1235306679     240100200014   1         55.4                22.8                .         1           28MAR2012    28MAR2012      8.95      32.6
63            121109         1235384426     240700100012   1         21.99               9.1                 .         1           04APR2012    04APR2012      6.95      12.89
16            99999999       1235591214     240400200022   1         93.4                38.95               .         2           25APR2012    27APR2012      12.95     54.45
16            99999999       1235591214     240400200036   1         55.5                25.1                .         2           25APR2012    27APR2012      8.95      30.4
16            99999999       1235611754     240400300033   2         71.4                14.35               .         2           27APR2012    29APR2012      10.95     42.7
16            99999999       1235611754     240400300035   2         38.2                7.7                 .         2           27APR2012    29APR2012      8.95      22.8
16            99999999       1235744141     230100500081   2         146                 30.35               .         2           10MAY2012    12MAY2012      15.95     85.3
16            99999999       1235744141     230100700009   3         1687.5              287.1               .         2           10MAY2012    12MAY2012      168.75    826.2
24            99999999       1235830338     220200100202   1         92                  46.1                .         2           18MAY2012    24MAY2012      12.95     45.9
24            99999999       1235830338     220200200073   1         145.9               66.35               .         2           18MAY2012    24MAY2012      15.95     79.55
171           120127         1235856852     220130100019   1         27.7                13.95               .         1           21MAY2012    21MAY2012      6.95      13.75
171           120127         1235856852     220131400152   1         13.1                5.9                 .         1           21MAY2012    21MAY2012      6.95      7.2
36            99999999       1235881915     240700400004   2         26.4                5.95                .         3           23MAY2012    26MAY2012      6.95      14.5
49            121040         1235913793     220131200025   1         26.7                11.6                .         1           26MAY2012    26MAY2012      6.95      15.1
79            99999999       1235926178     210200200022   2         36                  7.05                .         3           27MAY2012    03JUN2012      8.95      21.9
